# Continental ASGM Hg emissions to air (Mg/yr)
Year,North America,South America,Africa,Europe,Former USSR,Middle East,Asia,Oceania
2010,6.75,201.6,232.96,0,12.48,0,269.5,3.5
2011,7.23889136488444,216.201555431215,249.832908498294,0,13.3839058124086,0,289.019440420201,3.75349922623638
2012,7.30086578761566,218.052524856788,251.971806501177,0,13.4984896339916,0,291.493826631469,3.78563411209701
2013,6.99279571166045,208.851498588259,241.339509479765,0,12.9289022935589,0,279.193843598888,3.62589407271282
2014,7.03130621961844,210.001679092604,242.668606951453,0,13.0001039438279,0,280.731411286988,3.6458624842466
2015,7.19881230572546,215.004527531,248.449676258045,0,13.3098040852524,0,287.419246873039,3.73271749185765
