# Regional elemental Hg emissions to air (Mg/yr)
Year,Canada,USA,Central America,South America,Northern Africa,Western Africa,Eastern Africa,Southern Africa,OECD Europe,Eastern Europe,Former USSR,Middle East,South Asia,East Asia,Southeast Asia,Oceania,Japan
2010,5.25349541660006,38.8128497771124,17.0211837335114,236.347135881575,2.73219061312212,155.689077474693,53.6794908310691,83.7221399385394,25.4790214176749,19.9277325346782,53.8888741420747,19.9687132962675,92.4497816065662,553.626878102676,126.920702152393,19.5883218444636,3.23856619658713
2011,4.95769934142507,36.0711919030569,19.4256509962366,250.024589358164,2.87586216055322,167.954556679434,57.6708874997306,86.1032672269979,24.8333333545543,21.0153014960689,55.6386115226874,21.2005007800893,97.2791097513756,593.413733217067,133.94636358993,20.3461430307509,3.1826314052878
2012,4.81766487463879,31.9573498466318,20.7103194938628,250.979758638083,3.02476381655196,172.418228218407,58.2746812388127,87.3412262081251,25.0320639933859,19.8547802699747,55.7575529333416,22.1502256024218,102.226524418086,601.344823562588,135.439222142605,20.7257596304622,3.34049880011721
2013,4.94222149684295,31.1849348491478,21.4717499247959,242.279714378446,3.15621098715739,170.162784698484,55.9902288645549,85.6232633862166,23.4385462248523,19.1393325637085,54.748482702911,21.5517615550863,105.835624747686,612.320275321604,132.162441634066,21.1290193846447,3.46700423197434
2014,5.23920773832398,29.3746404507028,22.2019747253584,243.246200075222,3.412695114018,175.042974085291,56.4258228402472,87.1827180640171,21.3349781994628,18.5627274609809,54.2505852134021,22.7227837493171,111.050395922062,615.82372425574,134.533239327073,21.6754289858345,3.4232243525172
2015,5.14218410505166,25.2350869400876,23.0869997184438,247.840018118561,8.12424673742734,179.227898167132,58.6801989471518,88.0076356256174,20.0344248605784,18.6175746579497,54.883228400115,22.9223384239218,116.054739196469,623.94267437664,139.417151310036,22.7014433446566,3.42648027312444
