# Regional ASGM Hg emissions to air (Mg/yr)
Year,Canada,USA,Central America,South America,Northern Africa,Western Africa,Eastern Africa,Southern Africa,OECD Europe,Eastern Europe,Former USSR,Middle East,South Asia,East Asia,Southeast Asia,Oceania,Japan
2010,0,0,6.75,201.6,0,129.38,53.03,50.55,0,0,12.48,0,1.13,172.44,95.93,3.5,0
2011,0,0,7.23889136488444,216.201555431215,0,138.750779968704,56.8708754192329,54.2112531103568,0,0,13.3839058124086,0,1.21184403589917,184.929544734915,102.878051649387,3.75349922623638,0
2012,0,0,7.30086578761566,218.052524856788,0,139.938668978032,57.3577648470013,54.675372676144,0,0,13.4984896339916,0,1.22221901333418,186.512784654288,103.758822963847,3.78563411209701,0
2013,0,0,6.99279571166045,208.851498588259,0,134.033764322167,54.9374750502746,52.3682701073238,0,0,12.9289022935589,0,1.17064580061871,178.642621113886,99.3805766843832,3.62589407271282,0
2014,0,0,7.03130621961844,210.001679092604,0,134.771910917664,55.2400250113134,52.6566710224759,0,0,13.0001039438279,0,1.1770927449139,179.626436223852,99.9278823182218,3.6458624842466,0
2015,0,0,7.19881230572546,215.004527531,0,137.982568313298,56.5560024552032,53.911105489544,0,0,13.3098040852524,0,1.20513450451404,183.905658370267,102.308453998258,3.73271749185765,0
