# Continental elemental Hg emissions to air (Mg/yr)
Year,North America,South America,Africa,Europe,Former USSR,Middle East,Asia,Oceania
2010,61.0875289272239,236.347135881575,295.822898857424,45.4067539523531,53.8888741420747,19.9687132962675,776.235928058222,19.5883218444636
2011,60.4545422407186,250.024589358164,314.604573566716,45.8486348506232,55.6386115226874,21.2005007800893,827.82183796366,20.3461430307509
2012,57.4853342151334,250.979758638083,321.058899481897,44.8868442633606,55.7575529333416,22.1502256024218,842.351068923396,20.7257596304622
2013,57.5989062707867,242.279714378446,314.932487936413,42.5778787885608,54.748482702911,21.5517615550863,853.78534593533,21.1290193846447
2014,56.8158229143852,243.246200075222,322.064210103573,39.8977056604437,54.2505852134021,22.7227837493171,864.830583857392,21.6754289858345
2015,53.4642707635831,247.840018118561,334.039979477328,38.6519995185281,54.883228400115,22.9223384239218,882.841045156269,22.7014433446566
